1300,RM
1477,RM
1533,RM
1680,RM
1974,RM
2001,RM
2016,RM
2160,FV
2217,RM
2268,RL
2280,RL
2308,RL
2522,RM
2572,FV
2651,FV
3000,FV
3013,RL
3182,RL
3182,RL
3182,RL
3316,FV
3684,RL
3696,RL
3964,RM
4274,FV
4435,RM
4712,RL
4920,RL
5001,RL
5119,FV
5310,RM
5381,RL
5400,RL
5400,RL
5700,RM
5814,RL
5825,RL
5868,RL
5890,RM
5900,RL
5925,RM
6000,RL
6000,RM
6000,RM
6120,RM
6173,RL
6180,RM
6204,RL
6240,RM
6270,RH
6305,RL
6342,RL
6762,RL
6882,RM
6993,RL
7000,RL
7000,RL
7018,RL
7018,RL
7024,RL
7024,RL
7052,RL
7056,RL
7082,RH
7100,RL
7136,RH
7150,RL
7200,RL
7200,RL
7200,RM
7200,RM
7207,RL
7340,RL
7350,RL
7390,RL
7406,RL
7420,RL
7500,RL
7560,RL
7585,RL
7700,RL
7711,RL
7750,RL
7800,RH
7804,RL
7837,RL
7875,RL
7892,RL
7950,RL
8000,RL
8012,RL
8063,RL
8064,RL
8125,FV
8125,RL
8163,RL
8263,RM
8280,RL
8385,RL
8393,RL
8400,RL
8400,RL
8400,RL
8414,RL
8450,RL
8462,RL
8487,RL
8544,RL
8556,RL
8562,RL
8712,RL
8724,RL
8731,RL
8749,RL
8755,RL
8760,RL
8765,RM
8773,RL
8775,RL
8777,RL
8800,RL
8816,RL
8820,RM
8834,RL
8846,RL
8885,RL
8910,RL
8923,RL
8925,RL
8926,RL
8993,RL
9000,C (all)
9000,RL
9000,RM
9069,RL
9100,RL
9120,RL
9125,RL
9130,RL
9230,RL
9240,RL
9245,RL
9286,RL
9300,RL
9317,RL
9350,RL
9360,RL
9400,RL
9405,RL
9439,RM
9450,RL
9452,RL
9492,RL
9500,RL
9520,RL
9541,RL
9600,RL
9600,RL
9600,RL
9600,RL
9636,RL
9675,RL
9758,RL
9760,RL
9760,RL
9764,RL
9786,RM
9819,RL
9825,RL
9828,RL
9900,RL
9900,RM
9920,RL
9965,RL
10083,RL
10084,RL
10125,RL
10152,RL
10159,RL
10206,RL
10237,RL
10237,RL
10240,RL
10304,RL
10357,RL
10382,RL
10434,RL
10475,RL
10480,RL
10574,FV
10592,RL
10659,RL
10712,RL
10768,RL
10784,RL
10800,RL
10800,RL
10852,RL
10880,RL
11000,RL
11029,RL
11040,RL
11075,RL
11100,RL
11175,RL
11184,RL
11200,RL
11250,RL
11275,RL
11308,RL
11316,RL
11361,RL
11362,RL
11367,RL
11414,RL
11500,RL
11500,RL
11500,RL
11600,RL
11639,FV
11664,RL
11670,RL
11700,RL
11717,RL
11782,RL
11796,RL
11838,RL
11839,RL
11880,RL
11883,RL
11923,RL
11932,RL
11957,RL
11999,RL
12000,RL
12046,RL
12085,RL
12118,RL
12122,RL
12155,RL
12160,RL
12180,RL
12203,RL
12227,RL
12256,RL
12456,RL
12589,RL
12640,RL
12898,RL
12900,RL
12919,RL
13006,RL
13031,RL
13125,RL
13125,RL
13125,RL
13284,RL
13501,RL
13600,RM
13680,RL
13700,RL
13758,RL
13825,RL
14000,RL
14006,RL
14115,RL
14375,RL
14536,RL
14541,RL
14572,RL
14778,RL
14859,RL
15498,RL
15611,RL
15863,RL
15865,RL
15870,RL
16056,RL
16157,RL
16466,RL
17140,RL
17671,RM
17755,RL
18000,C (all)
21286,RL
21750,RL
23257,RL
24090,RL
25000,RL
25286,RL
27650,RL
29959,RL
